prompt,command,type
I need to see the statefulsets in the 'namespace1' namespace. Could you do that?,kubectl get statefulsets -n <name>,get
Please list all the statefulsets in the 'namespace1' namespace.,kubectl get statefulsets -n <name>,get
Could you show me the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
Can you list the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
I want to view the statefulsets in the 'namespace1' namespace. Can you do it?,kubectl get statefulsets -n <name>,get
Please display the statefulsets in the 'namespace1' namespace.,kubectl get statefulsets -n <name>,get
Could you please list the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
Can you show me the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
can i get the configmaps available in the namespace called namespace1?,kubectl get configmaps -n <name>,get
Could you please list the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
Please display the configmaps in the 'namespace1' namespace.,kubectl get configmaps -n <name>,get
Can you show me the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
I need to see the configmaps in the 'namespace1' namespace. Could you do that?,kubectl get configmaps -n <name>,get
Please list all the configmaps in the 'namespace1' namespace.,kubectl get configmaps -n <name>,get
Could you display the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
Can you list the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
I want to view the configmaps in the 'namespace1' namespace. Can you do it?,kubectl get configmaps -n <name>,get
Please show me the configmaps in the 'namespace1' namespace.,kubectl get configmaps -n <name>,get
Could you list all the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
Can you display the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
I need to see the configmaps in the 'namespace1' namespace. Could you do that?,kubectl get configmaps -n <name>,get
Please list all the configmaps in the 'namespace1' namespace.,kubectl get configmaps -n <name>,get
Could you show me the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
Can you list the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
I want to view the configmaps in the 'namespace1' namespace. Can you do it?,kubectl get configmaps -n <name>,get
Please display the configmaps in the 'namespace1' namespace.,kubectl get configmaps -n <name>,get
Could you please list the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
Can you show me the configmaps in the 'namespace1' namespace?,kubectl get configmaps -n <name>,get
can i get the secrets available in the namespace called namespace1?,kubectl get secrets -n <name>,get
Could you please list the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
Please display the secrets in the 'namespace1' namespace.,kubectl get secrets -n <name>,get
Can you show me the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
I need to see the secrets in the 'namespace1' namespace. Could you do that?,kubectl get secrets -n <name>,get
Please list all the secrets in the 'namespace1' namespace.,kubectl get secrets -n <name>,get
Could you display the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
Can you list the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
I want to view the secrets in the 'namespace1' namespace. Can you do it?,kubectl get secrets -n <name>,get
Please show me the secrets in the 'namespace1' namespace.,kubectl get secrets -n <name>,get
Could you list all the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
Can you display the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
I need to see the secrets in the 'namespace1' namespace. Could you do that?,kubectl get secrets -n <name>,get
Please list all the secrets in the 'namespace1' namespace.,kubectl get secrets -n <name>,get
Could you show me the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
Can you list the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
I want to view the secrets in the 'namespace1' namespace. Can you do it?,kubectl get secrets -n <name>,get
Please display the secrets in the 'namespace1' namespace.,kubectl get secrets -n <name>,get
Could you please list the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
Can you show me the secrets in the 'namespace1' namespace?,kubectl get secrets -n <name>,get
i want to edit the svc service_name in the namespace called namespace1?,kubectl edit svc <name> -n <name>,edit
Could you please edit the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
Please modify the svc service_name in the 'namespace1' namespace.,kubectl edit svc <name> -n <name>,edit
Can you edit the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
I need to update the svc service_name in the 'namespace1' namespace. Could you do that?,kubectl edit svc <name> -n <name>,edit
Please edit the svc service_name in the 'namespace1' namespace.,kubectl edit svc <name> -n <name>,edit
Could you modify the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
Can you update the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
I want to edit the svc service_name in the 'namespace1' namespace. Can you do it?,kubectl edit svc <name> -n <name>,edit
Please edit the svc service_name in the 'namespace1' namespace.,kubectl edit svc <name> -n <name>,edit
Could you please modify the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
Can you update the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
I need to edit the svc service_name in the 'namespace1' namespace. Could you do that?,kubectl edit svc <name> -n <name>,edit
Please modify the svc service_name in the 'namespace1' namespace.,kubectl edit svc <name> -n <name>,edit
Could you edit the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
Can you update the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
I want to edit the svc service_name in the 'namespace1' namespace. Can you do it?,kubectl edit svc <name> -n <name>,edit
Please modify the svc service_name in the 'namespace1' namespace.,kubectl edit svc <name> -n <name>,edit
Could you please edit the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
Can you update the svc service_name in the 'namespace1' namespace?,kubectl edit svc <name> -n <name>,edit
i want to edit the statefulset statefulset_name in the namespace called namespace1?,kubectl edit statefulset <name> -n <name>,edit
Could you please edit the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
Please modify the statefulset statefulset_name in the 'namespace1' namespace.,kubectl edit statefulset <name> -n <name>,edit
Can you edit the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
I need to update the statefulset statefulset_name in the 'namespace1' namespace. Could you do that?,kubectl edit statefulset <name> -n <name>,edit
Please edit the statefulset statefulset_name in the 'namespace1' namespace.,kubectl edit statefulset <name> -n <name>,edit
Could you modify the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
Can you update the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
I want to edit the statefulset statefulset_name in the 'namespace1' namespace. Can you do it?,kubectl edit statefulset <name> -n <name>,edit
Please edit the statefulset statefulset_name in the 'namespace1' namespace.,kubectl edit statefulset <name> -n <name>,edit
Could you please modify the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
Can you update the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
I need to edit the statefulset statefulset_name in the 'namespace1' namespace. Could you do that?,kubectl edit statefulset <name> -n <name>,edit
Please modify the statefulset statefulset_name in the 'namespace1' namespace.,kubectl edit statefulset <name> -n <name>,edit
Could you edit the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
Can you update the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
I want to edit the statefulset statefulset_name in the 'namespace1' namespace. Can you do it?,kubectl edit statefulset <name> -n <name>,edit
Please modify the statefulset statefulset_name in the 'namespace1' namespace.,kubectl edit statefulset <name> -n <name>,edit
Could you please edit the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
Can you update the statefulset statefulset_name in the 'namespace1' namespace?,kubectl edit statefulset <name> -n <name>,edit
